COUNTRY_NAME,CASES_DEATHS,epiweek,ISO_YEAR,ISO_WEEK,WHO_REGION,ISO_3_CODE,SEX,AGEGROUP,AGEGROUP_NUM
UNITED STATES OF AMERICA,3881,2023-01-02,2023,1,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,3698,2023-01-09,2023,2,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,3263,2023-01-16,2023,3,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2919,2023-01-23,2023,4,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2648,2023-01-30,2023,5,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2350,2023-02-06,2023,6,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2106,2023-02-13,2023,7,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2156,2023-02-20,2023,8,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2004,2023-02-27,2023,9,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1851,2023-03-06,2023,10,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1763,2023-03-13,2023,11,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1670,2023-03-20,2023,12,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1451,2023-03-27,2023,13,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1374,2023-04-03,2023,14,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1220,2023-04-10,2023,15,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1200,2023-04-17,2023,16,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1031,2023-04-24,2023,17,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,954,2023-05-01,2023,18,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,840,2023-05-08,2023,19,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,761,2023-05-15,2023,20,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,743,2023-05-22,2023,21,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,697,2023-05-29,2023,22,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,633,2023-06-05,2023,23,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,613,2023-06-12,2023,24,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,584,2023-06-19,2023,25,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,543,2023-06-26,2023,26,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,493,2023-07-03,2023,27,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,510,2023-07-10,2023,28,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,540,2023-07-17,2023,29,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,554,2023-07-24,2023,30,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,673,2023-07-31,2023,31,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,754,2023-08-07,2023,32,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,925,2023-08-14,2023,33,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1068,2023-08-21,2023,34,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1188,2023-08-28,2023,35,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1317,2023-09-04,2023,36,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1411,2023-09-11,2023,37,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1419,2023-09-18,2023,38,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1459,2023-09-25,2023,39,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1402,2023-10-02,2023,40,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1317,2023-10-09,2023,41,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1394,2023-10-16,2023,42,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1292,2023-10-23,2023,43,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1247,2023-10-30,2023,44,AMRO,USA,All,All,0
